"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4AverageCj1","adv1Agreed","adv2Agreed",
0.63333,0.65,0.83254,3.2129,19.3,0.53333,0.4,
0.58333,0.55,0.82286,2.8571,16,0.56667,0.53333,
0.71667,0.71667,0.20246,3.5787,19.7333,0.66667,0.76667,
0.73333,0.71667,4.7045,7.1989,9.95,0.7,0.56667,
0.61667,0.68333,3.7145,9.2397,26.1167,0.56667,0.6,
0.7,0.76667,8.2381,9.4762,16.2667,0.46667,0.6,
0.78333,0.71667,10.054,13.4075,32.1833,0.63333,0.6,
0.68333,0.75,3.5481,12.3107,16.2667,0.66667,0.56667,
0.85,0.88333,4.3595,13.1242,17.4833,0.56667,0.66667,
0.71667,0.78333,10.9275,12.6785,18.0667,0.63333,0.46667,
0.6,0.7,3.7222,12.9306,22.9,0.46667,0.53333,
0.85,0.81667,12.732,12.6471,29.6,0.73333,0.7,
0.71667,0.73333,0.19562,6.7825,6.3167,0.56667,0.6,
0.6,0.61667,3.1528,6.4444,21.8167,0.33333,0.53333,
0.53333,0.58333,0.58482,0.99107,11.8667,0.53333,0.46667,
0.76667,0.76667,8.3416,13.4689,16.4667,0.53333,0.66667,
0.7,0.7,1.4444,1.1825,20.6,0.63333,0.63333,
0.81667,0.85,0.5974,4.7978,17.9667,0.66667,0.5,
0.7,0.68333,2.6349,2.1032,12.2333,0.6,0.66667,
0.63333,0.68333,2.9163,5.0502,9.4833,0.53333,0.6,
0.56667,0.71667,6.2896,10.4072,19.8333,0.5,0.56667,
0.7,0.75,5.4683,7.1984,6.7167,0.6,0.6,
0.75,0.8,5.6667,11.2667,18.9833,0.53333,0.7,
0.6,0.66667,2.5278,7.0694,16.5167,0.6,0.66667,
0.81667,0.78333,2.423,10.5121,13.4333,0.63333,0.6,
0.68333,0.7,7.1694,3.2786,20.5833,0.53333,0.56667,
0.65,0.76667,2.8864,0.98901,30.0667,0.4,0.7,
0.78333,0.83333,5.1653,11.8625,24.2,0.56667,0.6,
0.58333,0.71667,5.5086,8.1829,18.9333,0.5,0.53333,
0.76667,0.73333,2.4938,7.1925,13.9833,0.66667,0.6,
0.71667,0.68333,0.26539,1.3625,18.6333,0.56667,0.53333,
0.6,0.58333,5.7778,7.2639,24.2167,0.3,0.36667,
0.75,0.8,3.4,5.7778,9.8833,0.46667,0.63333,
0.8,0.78333,4.0417,8.3333,21.9,0.63333,0.56667,
0.78333,0.75,3.6416,4.8069,20.0833,0.66667,0.56667,
0.8,0.78333,8.1458,3.7292,21.35,0.5,0.7,
0.73333,0.68333,4.0057,5.392,13,0.63333,0.63333,
0.56667,0.58333,3.267,4.5928,23.5333,0.6,0.66667,
0.78333,0.78333,1.8854,3.7643,20.4,0.63333,0.66667,
0.73333,0.78333,7.9886,9.6477,11.2333,0.56667,0.56667,
0.65,0.66667,1.63,5.4505,6.9167,0.63333,0.6,
0.63333,0.63333,0.014354,7.2536,17.6,0.5,0.43333,
0.6,0.65,2.8611,4.5694,13.4667,0.56667,0.5,
0.71667,0.71667,2.9357,7.4295,20.6333,0.56667,0.53333,
0.55,0.65,5.7172,5.2896,18.3667,0.56667,0.53333,
0.75,0.73333,6,5.5778,15.6333,0.53333,0.56667,
0.71667,0.7,0.1409,0.76197,34.0167,0.63333,0.46667,
0.75,0.76667,0,0.26667,37.2667,0.6,0.5,
0.85,0.8,2.3595,3.6536,10.45,0.56667,0.66667,
0.76667,0.78333,10.1584,9.9596,20.7167,0.7,0.7,
0.68333,0.71667,3.8729,7.4069,11.3833,0.46667,0.63333,
0.63333,0.73333,2.9043,5.7895,21.0667,0.53333,0.6,
0.66667,0.63333,2.675,9.45,19.5333,0.53333,0.53333,
0.8,0.81667,1.6458,0.375,15.4833,0.6,0.6,
0.7,0.76667,13.3175,12.3095,27.9333,0.63333,0.43333,
0.81667,0.76667,0.14471,4.6494,21.7,0.63333,0.66667,
0.63333,0.68333,4.8206,7.2775,20.9167,0.73333,0.53333,
0.61667,0.61667,4.3196,7.4571,16.5333,0.53333,0.56667,
0.7,0.68333,8.5873,7.5238,15.2333,0.53333,0.4,
0.78333,0.76667,2.4043,8.3322,5.8833,0.56667,0.66667,
0.61667,0.73333,0.42538,1.9354,21.4333,0.53333,0.5,
0.7,0.71667,5.2619,14.0238,13.85,0.63333,0.56667,
0.7,0.71667,0.69048,1.0635,26.5167,0.66667,0.53333,
0.78333,0.8,1.3061,1.9836,12.1,0.56667,0.53333,
0.63333,0.66667,0.13158,6.8876,19.9167,0.6,0.6,
0.66667,0.68333,1.325,0.15,17.0333,0.56667,0.7,
0.8,0.73333,12.9375,6.625,21.5167,0.63333,0.56667,
0.63333,0.73333,1.1722,7.445,19.8333,0.53333,0.46667,
0.63333,0.68333,1.1316,0.30622,19.7833,0.6,0.66667,
0.85,0.85,12.5752,14.5033,28.8,0.56667,0.66667,
0.65,0.73333,8.707,11.6484,14.85,0.43333,0.6,
0.73333,0.75,1.5398,6.267,16.0667,0.53333,0.6,
0.58333,0.73333,4.7029,14.6914,20.5833,0.46667,0.63333,
0.68333,0.73333,6.706,5.9743,27.2667,0.56667,0.6,
0.71667,0.8,6.6224,4.1081,17.2167,0.53333,0.56667,
0.73333,0.68333,6.4545,8.2102,26.4833,0.5,0.56667,
0.61667,0.68333,7.2573,9.6804,22.8667,0.43333,0.6,
0.73333,0.73333,1.4205,1.3295,15.4167,0.73333,0.6,
0.73333,0.8,9.5,7.8807,24.4667,0.66667,0.6,
0.66667,0.65,4.675,9.475,15.2667,0.6,0.66667,
0.81667,0.86667,7.0649,10.0575,33.1333,0.66667,0.56667,
0.73333,0.71667,4.2784,9.1875,15.2,0.63333,0.63333,
0.81667,0.7,0.37662,3.0649,7.2167,0.66667,0.63333,
0.76667,0.68333,0.54037,0.10559,24.8,0.6,0.46667,
0.56667,0.55,3.0136,1.871,36.1,0.6,0.6,
0.65,0.73333,3.7912,6.4432,10.0833,0.56667,0.66667,
0.73333,0.71667,2,2.7273,14.4667,0.63333,0.83333,
0.63333,0.68333,0.98325,5.9976,16.15,0.6,0.4,
0.56667,0.7,7.7941,16.1923,28.4167,0.5,0.36667,
0.58333,0.58333,1.9314,1.08,27.1667,0.5,0.6,
0.73333,0.7,2.3125,1.1023,4.6167,0.56667,0.5,
0.61667,0.7,7.3725,0.25382,27.6333,0.53333,0.56667,
0.81667,0.8,7.1781,4.833,17.3167,0.63333,0.73333,
0.65,0.71667,5.0293,6.5458,21.65,0.56667,0.6,
0.56667,0.58333,3.9955,5.0724,13.5333,0.53333,0.6,
0.68333,0.73333,5.9551,9.5674,27.0167,0.56667,0.53333,
0.58333,0.61667,1.3429,7.1486,19.1833,0.43333,0.4,
0.63333,0.63333,1,3.0837,45.8667,0.7,0.5,
0.73333,0.75,2.8011,3.5114,39.8667,0.53333,0.6,
0.55,0.6,5.67,10.7811,16.6,0.43333,0.53333,
0.65,0.68333,0.13187,8.0293,38.8,0.56667,0.66667,
0.66667,0.75,0.725,4.2,15.0333,0.53333,0.53333,
0.53333,0.6,3.9688,11.5714,18.3667,0.6,0.46667,
0.61667,0.63333,2.7415,3.6428,11.5167,0.56667,0.66667,
0.8,0.83333,4.4583,6.1875,12.4833,0.73333,0.53333,
0.71667,0.68333,0.097127,1.7852,23.7167,0.56667,0.66667,
0.78333,0.76667,11.7365,11.0376,27.1167,0.56667,0.6,
0.68333,0.7,0.53017,7.2336,43.7833,0.8,0.76667,
0.76667,0.8,9.1398,5.1988,20.65,0.56667,0.56667,
0.63333,0.7,3.8278,7.5431,16.8333,0.53333,0.6,
0.78333,0.81667,11.3404,17.2733,27.8833,0.53333,0.5,
0.75,0.76667,5.9556,8.0444,25.1333,0.7,0.8,
0.68333,0.68333,4.9602,7.5944,29.6,0.66667,0.56667,
0.8,0.81667,10.0833,4.8542,16.3167,0.63333,0.63333,
0.66667,0.7,3.225,8.075,26.7,0.6,0.6,
0.66667,0.75,1.65,7.425,7.7,0.53333,0.66667,
0.83333,0.88333,6.02,7.14,6.8167,0.63333,0.63333,
0.56667,0.66667,0.22851,9.0452,21.2833,0.63333,0.5,
0.76667,0.8,0.35093,3.528,16.4833,0.56667,0.7,
0.56667,0.63333,0.35068,3.1742,8.9167,0.56667,0.5,
